id,name,id
9691,Donner/Shuler-Donner Productions,23397.0
9691,Evansgideon/Lazar,25061.0
12665,Caravan Pictures,175.0
12665,Hollywood Pictures,915.0
451,United Artists,60.0
451,Intial Productions,15547.0
16420,Columbia Pictures,5.0
16420,Castle Rock Entertainment,97.0
9263,New Line Cinema,12.0
17015,BBC Films,288.0
902,Procirep,311.0
902,Constellation Productions,590.0
902,France 3 Cinéma,591.0
902,Claudie Ossard Productions,592.0
902,Eurimages,850.0
902,MEDIA Programme of the European Union,851.0
902,Cofimage 5,1871.0
902,Televisión Española (TVE),6639.0
902,Tele München Fernseh Produktionsgesellschaft (TMG),7237.0
902,Club d'Investissement Média,8170.0
902,Canal+ España,9335.0
902,Elías Querejeta Producciones Cinematográficas S.L.,12009.0
902,Centre National de la Cinématographie (CNC),18367.0
902,Victoires Productions,25020.0
902,Constellation,25021.0
902,Lumière Pictures,25129.0
902,Canal+,47532.0
902,Studio Image,68517.0
902,Cofimage 4,79437.0
902,Ossane,79438.0
902,Phoenix Images,79439.0
37557,Ministère des Affaires Étrangères,2588.0
37557,Alpha Films,4507.0
37557,La Sept Cinéma,23647.0
9909,Hollywood Pictures,915.0
9909,Via Rosa Productions,10103.0
9909,Don Simpson/Jerry Bruckheimer Films,10288.0
63,Universal Pictures,33.0
63,Atlas Entertainment,507.0
63,Classico,17031.0
78802,Iwerks Entertainment,70801.0
9598,Universal Pictures,33.0
9598,Kennedy Miller Productions,2537.0
47018,StudioCanal,694.0
47018,Cinéa,874.0
47018,Euston Films,8363.0
47018,Freeway Films,19316.0
47018,European Co-production Fund,30226.0
47018,Polygram Filmed Entertainment,31080.0
47018,Orsans Productions,44821.0
687,Havoc,406.0
687,PolyGram Filmed Entertainment,1382.0
687,Working Title Films,10163.0
139405,Sony New Technologies,53390.0
33689,Dualstar Productions,6130.0
33689,Warner Bros.,6194.0
33689,Rysher Entertainment,11661.0
33689,Orr & Cruickshank,89131.0
9603,Paramount Pictures,4.0
34615,Miramax,53009.0
34615,Distant Horizon,85681.0
34615,Alpine Pty Limited,89840.0
31174,British Screen,871.0
31174,Mayfair Entertainment International,34237.0
11443,Caravan Pictures,175.0
11443,Underworld Entertainment,476.0
11443,Hollywood Pictures,915.0
35196,Miramax Films,14.0
9312,New Line Cinema,12.0
9312,Threshold Entertainment,4174.0
577,The Rank Organisation,364.0
577,Columbia Pictures Corporation,441.0
11861,Universal Pictures,33.0
11861,Amblin Entertainment,56.0
807,New Line Cinema,12.0
807,Juno Pix,4286.0
807,Cecchi Gori Pictures,65394.0
10530,Walt Disney Pictures,2.0
10530,Walt Disney Feature Animation,10217.0
8391,Alliance Communications Corporation,2480.0
629,Blue Parrot Productions,361.0
629,Bad Hat Harry Productions,9168.0
117164,,
11448,Miramax Films,14.0
11448,Magnolia Pictures,1030.0
49133,,
26441,Walt Disney Pictures,2.0
26441,Caravan Pictures,175.0
97406,Miramax Films,14.0
97406,CiBy 2000,7832.0
124057,Telefilm Canada,7320.0
124057,Melenny Productions,10260.0
9089,Paramount Pictures,4.0
9089,Egg Pictures,802.0
9089,PolyGram Filmed Entertainment,1382.0
11010,,
99040,,
11359,Paramount Pictures,4.0
11359,Columbia Pictures Corporation,441.0
11359,The Kennedy/Marshall Company,862.0
17182,Paramount Pictures,4.0
2054,Hollywood Pictures,915.0
2054,The Charlie Mopic Company,916.0
2054,PolyGram Filmed Entertainment,1382.0
2054,Interscope Communications,10201.0
10607,Miramax Films,14.0
10607,Island Pictures,3492.0
10607,Ivory Way Productions,5441.0
19760,Warner Bros.,6194.0
19760,Morgan Creek Productions,10210.0
9536,Metro-Goldwyn-Mayer (MGM),8411.0
9536,Motion Picture Corporation of America (MPCA),11061.0
9536,3 Arts Entertainment,36390.0
9536,Weasel Productions,38003.0
11525,New Line Cinema,12.0
40628,Miramax Films,14.0
4482,Renn Productions,82.0
4482,Les Films Flam,1614.0
4482,TF1 Films Production,3823.0
4482,Canal+,5358.0
10634,New Line Cinema,12.0
755,A Band Apart,59.0
755,Dimension Films,7405.0
755,Los Hooligans Productions,11705.0
755,Miramax,53009.0
11859,Silver Pictures,1885.0
11859,Warner Bros.,6194.0
28387,Castleberg Productions,5841.0
28387,Sandollar Productions,5842.0
48750,Les Films 13,1742.0
48750,Canal+,5358.0
48750,TF1,22123.0
20927,New Line Cinema,12.0
20927,Juno Pix,4286.0
36929,Warner Bros.,6194.0
36929,Morgan Creek Productions,10210.0
9102,The Movie Network (TMN),3388.0
9102,Allegro Films,4899.0
9102,Fuji Eight Company Ltd.,7958.0
9102,Fries Film Group,23096.0
9102,Super Ecran,23097.0
9102,Triumph Films,23098.0
124626,Zweites Deutsches Fernsehen (ZDF),4606.0
124626,Ciak Filmproduktion,83201.0
124626,Bluehorse Films,93174.0
27526,Miramax Films,14.0
9623,Columbia Pictures Corporation,441.0
46785,I.R.I.B. Channel 2,38953.0
46785,Ferdos Films,38954.0
400,Miramax Films,14.0
880,Bergen Film,575.0
880,Bard Entertainments,576.0
880,NPS Televisie,577.0
146599,BET Pictures,38196.0
146599,United Image Entertainme,38197.0
188588,,
8447,Playhouse International Pictures,2492.0
8447,The Samuel Goldwyn Company,8888.0
10534,Hollywood Pictures,915.0
10534,Largo Entertainment,1644.0
10534,Scott Free Productions,1645.0
17414,Twentieth Century Fox Film Corporation,306.0
17414,Joe Wizan/Todd Black,3311.0
13997,Paramount Pictures,4.0
2086,Paramount Pictures,4.0
61548,Miramax Films,14.0
61548,Addis Wechsler Pictures,4665.0
9095,TriStar Pictures,559.0
9095,NFH Productions,18737.0
12158,Paramount Pictures,4.0
9283,Miramax Films,14.0
9283,Woods Entertainment,979.0
9208,Twentieth Century Fox Film Corporation,306.0
9208,WCG Entertainment Productions,456.0
9208,Mark Gordon Productions,11362.0
40154,Castle Rock Entertainment,97.0
40154,Midwinter Films,75942.0
406,Egg Pictures,802.0
406,PolyGram Filmed Entertainment,1382.0
406,Canal+,5358.0
406,Les Productions Lazennec,5869.0
406,La Sept Cinéma,16366.0
406,Kasso Inc. Productions,22684.0
406,Studio Image,68517.0
406,Cofinergie 6,68518.0
45549,Channel Four Films,181.0
63076,British Broadcasting Corporation (BBC),3324.0
63076,Westdeutscher Rundfunk (WDR),7025.0
63076,Canadian Broadcasting Corporation (CBC),12113.0
63076,Cinemax Reel Life,12911.0
63076,InPictures,12912.0
63076,Lafayette Films,12913.0
11062,Columbia Pictures,5.0
11062,Castle Rock Entertainment,97.0
13685,Gracie Films,18.0
13685,Columbia Pictures Corporation,441.0
47475,Touchstone Pictures,9195.0
2045,Metro-Goldwyn-Mayer (MGM),8411.0
2045,Dino De Laurentiis Company,10308.0
2045,Spelling Films,10355.0
9614,Universal Pictures,33.0
9614,Brillstein-Grey Entertainment,1606.0
9614,Robert Simonds Productions,3929.0
688,Amblin Entertainment,56.0
688,Malpaso Productions,171.0
688,Warner Bros.,6194.0
11907,,
10874,Walt Disney Pictures,2.0
10874,Jim Henson Productions,2504.0
10874,"Jim Henson Company, The",6254.0
89333,,
96357,,
197,Icon Entertainment International,4564.0
197,The Ladd Company,7965.0
197,B.H. Finance C.V.,11353.0
103,Columbia Pictures Corporation,441.0
103,Italo/Judeo Productions,46059.0
103,Bill/Phillips,46060.0
33542,New Line Cinema,12.0
33542,Golden Harvest Company,2521.0
43566,Caravan Pictures,175.0
43566,Hollywood Pictures,915.0
71754,Téléfilm Canada,806.0
71754,Skyline Films,2055.0
71754,Malofilm,3498.0
71754,Société de Développement des Entreprises Culturelles (SODEC),9116.0
71754,British Screen Productions,12745.0
71754,National Film Board of Canada (NFB),17027.0
71754,imX Communications,22150.0
71754,Glace Bay Pictures,38673.0
71754,Ciné Télé Action,38674.0
71754,Nova Scotia Film Development Corporation,40534.0
71754,Ranfilm,85045.0
43612,France 2 Cinéma,83.0
43612,France 3 Cinéma,591.0
43612,StudioCanal,694.0
43612,Les Productions du Champ Poirier,883.0
43612,Téléma Productions,885.0
51352,,
16934,Bavaria Film and Television Fund,3236.0
10324,TriStar Pictures,559.0
10324,Motion Picture Corporation of America (MPCA),11061.0
78406,Savoy Pictures,11308.0
55731,TriStar Pictures,559.0
32119,,
11066,Paramount Pictures,4.0
11104,Jet Tone Production,540.0
11104,The Criterion Collection,10932.0
37975,Cecchi Gori Group Tiger Cinematografica,371.0
2074,Miramax Films,14.0
27793,Studio Babelsberg,264.0
27793,Dieter Geissler Filmproduktion,1766.0
27793,Cinevox Filmproduktion GmbH,1979.0
27793,Warner Bros.,6194.0
27793,Miramax,53009.0
44284,Canal Horizons,22029.0
44284,Mat Films,22618.0
44284,Cinétéléfilms,71842.0
290157,,
110972,,
32622,,
73067,Fine Line Features,8.0
73067,Channel Four Films,181.0
73067,Bórd Scannán na hÉireann,1898.0
73067,Canal+,5358.0
11863,Paramount Pictures,4.0
55475,Cigua Films,93488.0
55475,D'Pelicula,93489.0
124636,,
9101,Twentieth Century Fox Film Corporation,306.0
123360,Couch Potatoe Productions,68229.0
5757,,
39428,Channel Four Films,181.0
39428,Academy,38778.0
39428,Mayfair Films,94477.0
39428,Iberoamerica Films,94478.0
124639,,
9302,Cinergi Pictures Entertainment,1504.0
9302,Touchstone Pictures,9195.0
11000,United Artists,60.0
249882,,
16388,Fox Searchlight Pictures,43.0
9737,Columbia Pictures,5.0
9737,Don Simpson/Jerry Bruckheimer Films,10288.0
30765,Warner Bros.,6194.0
10474,New Line Cinema,12.0
10474,Island Pictures,3492.0
22279,Fine Line Features,8.0
22279,BBC,5996.0
22279,British Screen Productions,12745.0
22279,Portman Productions,16027.0
30157,Channel Four Films,181.0
30157,Zenith Entertainment,3644.0
30157,American Playhouse,3906.0
30157,Union Générale Cinématographique (UGC),7248.0
30157,La Sept Cinéma,16366.0
30157,True Fiction Pictures,37909.0
568,Imagine Entertainment,23.0
568,Universal Pictures,33.0
11780,United Artists,60.0
11780,Talisman Productions,8989.0
34996,October Films,236.0
34996,Guild,1214.0
34996,Fastnet Films,5353.0
414,Warner Bros.,6194.0
414,Polygram Filmed Entertainment,31080.0
649,Paris Films Productions,386.0
649,Five Films,387.0
649,Robert et Raymond Hakim,11290.0
1873,Columbia Pictures,5.0
1873,Castle Rock Entertainment,97.0
5894,Miramax Films,14.0
5894,InterAL,30334.0
1775,PolyGram Filmed Entertainment,1382.0
8839,Universal Pictures,33.0
8839,Amblin Entertainment,56.0
8839,The Harvey Entertainment Company,11098.0
20649,Universal Pictures,33.0
20649,40 Acres & A Mule Filmworks,4319.0
10329,Paramount Pictures,4.0
10329,"Kennedy/Marshall Company, The",7383.0
8963,Hollywood Pictures,915.0
8963,Don Simpson/Jerry Bruckheimer Films,10288.0
26564,Superior Pictures,4532.0
8068,Columbia Pictures,5.0
8068,Los Hooligans Productions,11705.0
8512,TriStar Pictures,559.0
8512,Mundy Lane Entertainment,2510.0
1572,Twentieth Century Fox Film Corporation,306.0
1572,Cinergi Pictures Entertainment,1504.0
13552,Why Not Productions,729.0
13552,Desperate Pictures,1474.0
13552,Blurco,2765.0
13552,The Teen Angst Movie Company,18902.0
259209,Touchstone Pictures,9195.0
259209,Merchant Ivory Productions,20740.0
6520,Columbia Pictures Corporation,441.0
6520,First Knight Productions,10158.0
9073,Regency Enterprises,508.0
9073,Alcor Films,644.0
9073,Canal+,5358.0
9073,Donner/Shuler-Donner Productions,5739.0
9073,Warner Bros.,6194.0
10428,United Artists,60.0
10428,Suftley,87394.0
17447,The Booking Office,12909.0
17447,Workin' Man Films,12910.0
9886,TriStar Pictures,559.0
9886,Alliance Communications Corporation,2480.0
9482,Hollywood Pictures,915.0
9482,Cinergi Pictures Entertainment,1504.0
19326,TriStar Pictures,559.0
9344,Miramax Films,14.0
9071,JDI productions,13187.0
9071,Lemon Sky Productions,13190.0
8973,United Artists,60.0
8973,Seraphim Films,3557.0
15730,The Ontario Film Development Corporation,1203.0
15730,First Choice Films,2267.0
15730,Atlantis Films,4350.0
15730,Telefilm Canada,7320.0
15730,Max Films Productions,7828.0
15730,Super Écran,11578.0
15730,Société Générale des Industries Culturelles du Québec (SOGIC),35859.0
47608,Touchstone Pictures,9195.0
2293,Universal Pictures,33.0
2293,Gramercy Pictures,37.0
2293,Alphaville Films,11462.0
2293,View Askew Productions,16934.0
9070,Twentieth Century Fox Film Corporation,306.0
9070,Saban Entertainment,2106.0
9070,Toei Company,9255.0
68274,PolyGram Filmed Entertainment,1382.0
68274,Working Title Films,10163.0
48787,Comet Film Produktion GmbH,16561.0
48787,Avrora Media,38959.0
48787,Cobblestone Pictures,38960.0
34574,Kino Link Company,37897.0
1642,Columbia Pictures,5.0
11472,Twentieth Century Fox Film Corporation,306.0
11472,1492 Pictures,436.0
36196,Party Productions,37890.0
11980,Dimension Films,7405.0
58372,Playhouse International Pictures,2492.0
58372,American Playhouse,3906.0
58372,"Samuel Goldwyn Company, The",28205.0
32646,Killer Films,1422.0
32646,American Playhouse,3906.0
32646,Kardana Films,38692.0
32646,Chemical Films,39861.0
10533,Hollywood Pictures,915.0
10533,Cinergi Pictures Entertainment,1504.0
56088,,
10802,United Artists,60.0
10802,Le Studio Canal+,183.0
10802,Carolco Pictures,14723.0
10149,Miramax Films,14.0
18402,Spring Creek Productions,705.0
18402,Warner Bros.,6194.0
18402,Hawn / Sylbert Movie Company,16368.0
9348,Metro-Goldwyn-Mayer (MGM),8411.0
139408,Malpaso Productions,171.0
139408,Butcher's Run Films,3864.0
139408,Warner Bros.,6194.0
281,Lightstorm Entertainment,574.0
5967,Beta Film,1080.0
5967,Madeleine Films,1147.0
5967,Parc Film,14680.0
79593,Hollywood Pictures,915.0
79593,PolyGram Filmed Entertainment,1382.0
79593,Interscope Communications,10201.0
47939,Savoy Pictures,11308.0
36834,Société Française de Production (SFP),6849.0
36834,FIT Productions,16026.0
36834,Portman Productions,16027.0
9090,Universal Pictures,33.0
9090,Amblin Entertainment,56.0
3512,Regency Enterprises,508.0
3512,Warner Bros.,6194.0
3512,Seagal/Nasso Productions,17825.0
3512,Victor Company of Japan (JVC),21480.0
3512,Cutting Edge Films,63906.0
52856,Hollywood Pictures,915.0
77350,,
9560,Twentieth Century Fox Film Corporation,306.0
9560,Zucker Brothers Productions,2851.0
9804,Universal Pictures,33.0
9804,Gordon Company,1073.0
9804,Davis Entertainment,1302.0
9804,Licht/Mueller Film Corporation,6092.0
31611,HBO,6068.0
31611,A BandApart,6911.0
31611,Rysher Entertainment,11661.0
65796,United Artists,60.0
49805,Paramount Pictures,4.0
26258,Twentieth Century Fox Film Corporation,306.0
50797,Canal+,5358.0
50797,Studio Trite,6453.0
50797,Caméra One,6454.0
19155,PolyGram Audiovisuel,6367.0
19155,British Screen Productions,12745.0
76,Detour Film Production,98.0
76,Warner Bros.,6194.0
11017,Jack Giarraputo Productions,6365.0
37141,Spelling Films International,18189.0
9382,Regency Enterprises,508.0
9382,Alcor Films,644.0
9382,Canal+,5358.0
9382,New Regency Pictures,10104.0
9382,Hera Productions,16192.0
6715,Universal Pictures,33.0
6715,Island World,1595.0
18256,Full Moon Entertainment,4867.0
22625,The Rank Organisation,364.0
22625,Bórd Scannán na hÉireann,1898.0
22625,Lantana,4127.0
22625,Price Entertainment,23808.0
2292,Miramax Films,14.0
2292,View Askew Productions,16934.0
1909,New Line Cinema,12.0
1909,American Zoetrope,70.0
8984,Warner Bros.,6194.0
8984,Baltimore Pictures,11407.0
61813,Keystone Pictures,15709.0
61813,Dream Man Productions Inc,52095.0
4954,Paramount Pictures,4.0
62488,Savoy Pictures,11308.0
62488,Rysher Entertainment,11661.0
10531,Fine Line Features,8.0
10531,Channel Four Films,181.0
10531,Capitol Films,826.0
10531,TF1 Films Production,3823.0
10531,Canal+,5358.0
10531,Flach Film,8277.0
10531,Les Films de l'Astre,68141.0
11929,Castle Rock Entertainment,97.0
11929,Columbia Pictures Corporation,441.0
8467,New Line Cinema,12.0
8467,Motion Picture Corporation of America (MPCA),11061.0
10451,Ang Lee Productions,5528.0
10451,Good Machine,10565.0
10451,Central Motion Pictures,25345.0
20156,Miramax Films,14.0
20156,Alliance Entertainment,10166.0
20156,Ego Film Arts,12800.0
18395,Savoy Pictures,11308.0
522,Touchstone Pictures,9195.0
397,Twentieth Century Fox Film Corporation,306.0
397,PolyGram Filmed Entertainment,1382.0
397,Working Title Films,10163.0
397,Prufrock Pictures,34207.0
10525,Columbia Pictures,5.0
10525,Castle Rock Entertainment,97.0
27985,Twentieth Century Fox Film Corporation,306.0
15789,Walt Disney Pictures,2.0
27303,TriStar Pictures,559.0
21183,Metro-Goldwyn-Mayer,21.0
10954,Italian International Film,1429.0
10954,Stéphan Films,2359.0
10954,MG,37581.0
47867,,
43475,,
72031,Miramax Films,14.0
14275,Fine Line Features,8.0
14275,Kartemquin Films,13042.0
1024,WingNut Films,11.0
1024,Miramax Films,14.0
1024,New Zealand Film Commission,294.0
1024,Fontana Productions,2306.0
17207,Caravan Pictures,175.0
17207,Hollywood Pictures,915.0
13701,Columbia Pictures,5.0
13701,Majestic Films International,2630.0
13701,Icon Entertainment International,4564.0
14819,Walt Disney Pictures,2.0
14819,Caravan Pictures,175.0
32631,Universal Pictures,33.0
32631,Bregman/Baer Productions,11393.0
11777,Paramount Pictures,4.0
628,Geffen Pictures,360.0
87729,Merchant Ivory Productions,2370.0
87729,Touchstone Pictures,9195.0
18713,Caravan Pictures,175.0
18713,Touchstone Pictures,9195.0
6280,Universal Pictures,33.0
6280,Northern Lights Entertainment,8816.0
9061,Fountainbridge Films,414.0
9061,Warner Bros.,6194.0
9061,Lee Rich Productions,36854.0
37108,Walt Disney Pictures,2.0
37108,Trimark Pictures,4063.0
6071,Twentieth Century Fox Film Corporation,306.0
11,Lucasfilm,1.0
11,Twentieth Century Fox Film Corporation,306.0
9587,Columbia Pictures,5.0
19101,Warner Bros.,6194.0
49980,Channel Four Films,181.0
49980,Parallax Pictures,983.0
17961,MK2 Productions,9209.0
18183,Aviacsa,84803.0
18183,Cinevista,84804.0
4476,Bedford Falls Productions,348.0
4476,TriStar Pictures,559.0
4476,Pangaea,1656.0
11008,Universal Pictures,33.0
47504,Fine Line Features,8.0
47504,New Line Cinema,12.0
47504,Live Entertainment,285.0
32325,Channel Four Films,181.0
32325,Cineville,2832.0
32325,Home Box Office (HBO),3268.0
32325,Showcase Entertaiment Inc.,36836.0
43742,Warner Bros.,6194.0
28313,Paramount Pictures,4.0
11318,Channel Four Films,181.0
11318,Samuel Goldwyn Company,798.0
11318,Close Call Films,23022.0
3036,American Zoetrope,70.0
3036,TriStar Pictures,559.0
40490,Walt Disney Pictures,2.0
24070,TriStar Pictures,559.0
8986,Paramount Pictures,4.0
8986,The Kennedy/Marshall Company,862.0
10510,Twentieth Century Fox Film Corporation,306.0
17402,Hollywood Pictures,915.0
38722,American Zoetrope,70.0
38722,American Playhouse,3906.0
38722,Majestic Films International,20928.0
38722,Newcomb Productions,89873.0
8438,Wolper Organization,2428.0
8438,Warner Bros.,6194.0
11593,Paramount Pictures,4.0
11593,Capella International,594.0
11593,Cinehaus,761.0
1945,Twentieth Century Fox Film Corporation,306.0
1945,Egg Pictures,802.0
1945,PolyGram Filmed Entertainment,1382.0
39310,40 Acres & A Mule Filmworks,4319.0
109560,TOEI,7260.0
109560,Distant Justice Joint Venture,42935.0
56428,Metrodome Films,11139.0
63105,Filmwerks,7954.0
63105,Imperial Entertainment,21437.0
131957,Triumph Films,23098.0
241,Regency Enterprises,508.0
241,Alcor Films,644.0
241,Ixtlan,4198.0
241,Warner Bros.,6194.0
241,New Regency Pictures,10104.0
241,J D Productions,68551.0
9058,TriStar Pictures,559.0
527,Avalon Studios,293.0
527,New Zealand Film Commission,294.0
527,New Zealand On Air,295.0
18220,New Line Cinema,12.0
18220,CineTel Pictures,17067.0
18220,MG Entertainment,17068.0
6950,Kopelson Entertainment,824.0
6950,Punch Productions,2154.0
6950,Warner Bros.,6194.0
6950,Arnold Kopelson Productions,16775.0
101,Columbia Pictures,5.0
101,Gaumont,9.0
63020,"Samuel Goldwyn Company, The",28205.0
2307,Hollywood Pictures,915.0
680,Miramax Films,14.0
680,A Band Apart,59.0
680,Jersey Films,216.0
41478,Polygram Filmed Entertainment,31080.0
41478,Gramercy Pictures (I),31715.0
41478,MVP Films,37580.0
25296,Ang Lee Productions,5528.0
40156,BBC Films,288.0
40156,PolyGram Filmed Entertainment,1382.0
40156,Miramax,53009.0
11450,Wildwood Enterprises,316.0
11450,Hollywood Pictures,915.0
11450,Baltimore Pictures,11407.0
30304,Cecile Company,84839.0
30304,Thousand Cranes Filmworks,84840.0
10452,Renn Productions,82.0
10452,Eurimages,850.0
10452,Canal+,5358.0
10452,ARD/Degeto Film GmbH,6187.0
10452,D.A. Films,6541.0
10452,France2 Cinéma,7089.0
10452,WMG Film,8923.0
10452,Centre National de la Cinématographie (CNC),18367.0
10452,N.E.F. Filmproduktion und Vertriebs GmbH,18495.0
10452,Miramax,53009.0
10452,RCS Films & TV,75913.0
12106,TriStar Pictures,559.0
161495,Hollywood Pictures,915.0
161495,Interscope Communications,10201.0
161495,Nomura Babcock & Brown,12883.0
3586,Miramax Films,14.0
110,Zespół Filmowy TOR,38.0
110,Le Studio Canal+,183.0
110,France 3 Cinéma,591.0
110,Télévision Suisse-Romande,1245.0
108,France 3 Cinéma,591.0
108,CED Productions,1610.0
109,Le Studio Canal+,183.0
109,France 3 Cinéma,591.0
109,Eurimages,850.0
159185,,
36357,,
92769,Allegro Films,4899.0
92769,Norstar Entertainment,16953.0
92769,west wind entertainment,24946.0
28033,Paramount Pictures,4.0
22586,Rich Animation Studios,4108.0
14334,Jones Entertainment Group,29272.0
14334,Skerry Productions,29273.0
2636,Jerry Weintraub Productions,2596.0
2636,Warner Bros.,6194.0
2636,Iguana Producciones,11134.0
2164,Centropolis Entertainment,347.0
2164,StudioCanal,694.0
2164,Carolco Entertainment,10320.0
11395,Walt Disney Pictures,2.0
11395,Hollywood Pictures,915.0
278,Castle Rock Entertainment,97.0
278,Warner Bros.,6194.0
9905,Channel Four Films,181.0
9905,Figment Films,359.0
9905,The Glasgow Film Fund,980.0
9905,PolyGram Filmed Entertainment,1382.0
87078,Kino Korsakoff,78701.0
12527,Miramax Films,14.0
12527,Tabasco films,6647.0
12527,Instituto Mexicano de Cinematografía (IMCINE),8861.0
12527,TeleMadrid,10015.0
20306,Cineville,2832.0
20306,Trimark Pictures,4063.0
36614,Samuel Goldwyn Company,798.0
27993,New Line Cinema,12.0
27993,1992 Number Four Limited Partnership,4733.0
27993,MHA,4734.0
31439,Shanghai Film Studios,1078.0
31439,Era International Ltd,25299.0
9067,Trilogy Entertainment Group,2231.0
9059,Universal Pictures,33.0
9059,Tales From The Crypt Holdings,69626.0
193,Paramount Pictures,4.0
25066,40 Acres & A Mule Filmworks,4319.0
25066,Savoy Pictures,11308.0
46797,,
12122,Universal Pictures,33.0
11381,Paramount Pictures,4.0
32636,Sony Pictures Classics,58.0
36141,Populist Pictures,14729.0
95963,Savoy Pictures,11308.0
95963,Price Entertainment,23808.0
95963,"Jackson/McHenry Company,The",37350.0
1587,Paramount Pictures,4.0
9271,Paramount Pictures,4.0
2064,Caravan Pictures,175.0
2064,Hollywood Pictures,915.0
19855,Universal Pictures,33.0
60855,Fine Line Features,8.0
60855,Téléfilm Canada,806.0
60855,First Generation Films,4908.0
60855,National Film Board of Canada (NFB),17027.0
60855,British Columbia Film Commission,36024.0
236,Ciby 2000,105.0
236,Film Victoria,11840.0
236,House & Moorhouse Films,39250.0
48287,Columbia Pictures Corporation,441.0
48287,Beacon Pictures,10157.0
3049,Warner Bros.,6194.0
3049,Morgan Creek Productions,10210.0
2759,PolyGram Filmed Entertainment,1382.0
12635,Gramercy Pictures,37.0
10497,Fine Line Features,8.0
10497,R.P. Productions,355.0
10497,Columbia Pictures Corporation,441.0
10497,Les Films Alain Sarde,635.0
10497,Canal+,5358.0
10497,Timothy Burrill Productions,8131.0
11382,Miramax Films,14.0
9331,Paramount Pictures,4.0
9331,Mace Neufeld Productions,2767.0
10731,Regency Enterprises,508.0
10731,Alcor Films,644.0
10731,Warner Bros.,6194.0
10464,New Line Cinema,12.0
34152,Universal Pictures,33.0
34152,40 Acres & A Mule Filmworks,4319.0
9495,Miramax Films,14.0
9495,Crowvision Inc.,4028.0
9495,Entertainment Media Investment Corporation,4029.0
9495,Jeff Most Productions,4030.0
9495,Edward R. Pressman Film,6455.0
29973,Regency Enterprises,508.0
29973,Alcor Films,644.0
29973,Warner Bros.,6194.0
29973,Aleor Films,16823.0
888,Universal Pictures,33.0
888,Amblin Entertainment,56.0
888,Hanna-Barbera Productions,1353.0
13,Paramount Pictures,4.0
712,Channel Four Films,181.0
712,PolyGram Filmed Entertainment,1382.0
712,Working Title Films,10163.0
16295,Columbia Pictures Corporation,441.0
16295,New Deal Productions,1947.0
48992,Columbia Pictures Corporation,441.0
48992,Think Again Productions,37294.0
48992,Riot of Color,37295.0
10879,Caravan Pictures,175.0
10879,Touchstone Pictures,9195.0
10660,TriStar Pictures,559.0
10714,,
41647,Channel Four Films,181.0
41647,Arte,201.0
41647,Zweites Deutsches Fernsehen (ZDF),4606.0
41647,Nomad Films,12914.0
41647,Omega Film GmbH,12915.0
41647,Without Walls,12916.0
8587,Walt Disney Pictures,2.0
8587,Walt Disney Feature Animation,10217.0
1689,Miramax Films,14.0
11596,New Line Cinema,12.0
854,New Line Cinema,12.0
854,Dark Horse Entertainment,552.0
9359,Icon Entertainment International,4564.0
9359,Warner Bros.,6194.0
23333,Fine Line Features,8.0
23333,Miramax Films,14.0
36593,Paramount Pictures,4.0
12280,Imagine Entertainment,23.0
12280,Universal Pictures,33.0
2788,Universal Pictures,33.0
2788,Jersey Films,216.0
10427,Propaganda Films,278.0
